reference_date,target,location,output_type,output_type_id,value
2026-06-13,cumulative cases,CD,quantile,0.025,291.42
2026-06-13,cumulative cases,CD,quantile,0.1,560.2
2026-06-13,cumulative cases,CD,quantile,0.25,1194.75
2026-06-13,cumulative cases,CD,quantile,0.5,2261.0
2026-06-13,cumulative cases,CD,quantile,0.75,4050.75
2026-06-13,cumulative cases,CD,quantile,0.9,6105.2
2026-06-13,cumulative cases,CD,quantile,0.975,9932.48
2026-06-13,cumulative cases,CD,mean,NA,3006.78
