reference_date,target,location,output_type,output_type_id,value
2026-06-18,cumulative cases,CD,quantile,0.025,781.9
2026-06-18,cumulative cases,CD,quantile,0.1,1008.0
2026-06-18,cumulative cases,CD,quantile,0.25,1464.25
2026-06-18,cumulative cases,CD,quantile,0.5,2267.0
2026-06-18,cumulative cases,CD,quantile,0.75,3320.75
2026-06-18,cumulative cases,CD,quantile,0.9,4136.1
2026-06-18,cumulative cases,CD,quantile,0.975,4621.77
2026-06-18,cumulative cases,CD,mean,NA,2432.19
