reference_date,target,location,output_type,output_type_id,value
2026-06-25,cumulative cases,CD,quantile,0.025,1574
2026-06-25,cumulative cases,CD,quantile,0.1,1758
2026-06-25,cumulative cases,CD,quantile,0.25,1992
2026-06-25,cumulative cases,CD,quantile,0.5,2337
2026-06-25,cumulative cases,CD,quantile,0.75,2807
2026-06-25,cumulative cases,CD,quantile,0.9,3449
2026-06-25,cumulative cases,CD,quantile,0.975,4776
2026-06-25,cumulative cases,CD,median,NA,2337
2026-06-25,cumulative cases,CD,mean,NA,2541
