reference_date,target,location,output_type,output_type_id,value
2026-06-20,cumulative cases,CD,quantile,0.025,1249
2026-06-20,cumulative cases,CD,quantile,0.1,1449
2026-06-20,cumulative cases,CD,quantile,0.25,1699
2026-06-20,cumulative cases,CD,quantile,0.5,1930
2026-06-20,cumulative cases,CD,quantile,0.75,2312
2026-06-20,cumulative cases,CD,quantile,0.9,2702
2026-06-20,cumulative cases,CD,quantile,0.975,3313
2026-06-20,cumulative cases,CD,median,NA,1930
2026-06-20,cumulative cases,CD,mean,NA,2053
